OP,A1,A2,A3
+,1587,11827,14627
+,9400,12840,11723
+,3500,16270,206
+,9942,11737,3859
+,7585,17475,8049
+,12625,19742,43
+,345,3309,12234
+,13611,13839,12902
+,872,8291,9868
+,16492,11551,1206
+,1740,14391,10632
+,5536,5274,13731
+,12231,14283,16946
-,888,0,0
-,832,0,0
-,230,0,0
+,12793,3284,6597
+,7629,16954,6323
+,2060,11959,18643
+,16186,12009,8840
+,3100,10700,32
+,15188,6688,14615
+,8173,17866,12296
+,7379,3451,13859
+,13168,8677,11767
+,5997,10870,15808
+,14652,9966,11233
+,5013,17477,4736
+,12603,13075,11428
+,10393,7119,3997
+,13929,7767,8614
+,18196,15002,2993
+,15441,10616,19946
+,9033,12963,16379
+,9532,18623,533
+,19186,5008,1187
+,13924,11812,9303
+,9289,7427,19334
+,16288,9271,5146
+,2986,26,16674
-,87,0,0
+,19009,14410,15758
+,10803,14020,11111
+,17817,8495,7853
+,4686,14443,16683
+,2690,12701,11354
+,13445,1657,2573
+,18526,3929,4030
+,18868,11168,7112
+,16703,9646,4081
+,938,960,11310
+,10631,11894,4141
+,10067,1536,6437
+,8412,1913,18455
+,8472,14777,8297
+,14409,12607,14194
+,10976,3232,12202
+,18818,7485,991
+,13668,9595,17897
+,2548,2093,7674
+,12555,5084,5372
+,14188,8243,18106
+,10762,6544,13809
+,8584,4290,2204
+,17072,2377,12884
+,2259,15403,13012
+,17840,15393,2522
+,3963,2564,18183
+,2280,2963,15304
+,2191,7294,4662
+,12525,12301,10203
+,9822,14207,312
+,10865,13227,19487
+,4953,18592,7444
+,8324,3683,7699
+,4448,8168,10201
+,7504,14359,14937
+,9509,7932,19673
+,17000,19409,2258
-,443,0,0
+,1282,3910,10520
+,5892,760,6636
+,17354,12919,14865
-,817,0,0
+,1940,5356,4542
+,19507,14743,16135
+,5612,16066,14598
+,4701,16862,19528
+,10019,10185,3869
-,83,0,0
+,5497,4124,18875
+,4163,3097,2524
+,16207,2993,719
+,3361,2274,1460
+,1049,147,12087
+,8034,5531,19913
+,15062,5059,700
+,9180,15692,12216
+,535,11839,7027
+,14813,850,16531
+,15514,2666,4157
+,9758,10271,175
+,14136,17008,9177
+,2930,9914,3280
-,712,0,0
+,3878,2108,19584
+,11778,19278,1948
+,15395,8428,16634
+,16984,18706,6368
+,5442,14040,18210
+,4645,9730,6330
-,328,0,0
+,9071,13135,8461
+,10781,15890,4611
+,11139,19547,15769
+,8050,16288,11738
+,18386,11849,17781
+,14649,12189,14818
+,4210,4930,2822
+,17888,14691,3972
+,14711,2238,14774
+,2524,19369,9440
+,5045,8735,1759
+,4956,12084,10887
+,2247,4812,18718
+,7120,8535,6353
+,9698,11041,2241
+,13581,9431,14987
+,1143,18667,14412
+,12085,18227,7902
+,8095,5582,4539
+,13524,528,16394
+,15692,17322,2262
+,1733,18415,14416
+,19626,8285,16633
+,1916,3564,10735
+,15379,10277,17156
+,18885,9182,3052
+,16520,4110,13921
+,18737,15579,15941
+,7229,1539,4903
+,6694,10126,19571
+,2898,9497,9499
+,8191,4095,407
+,8081,12492,11547
+,1233,19616,1624
+,7254,10152,18170
+,1999,5788,4194
+,4675,18087,13760
+,4189,1709,16067
+,2454,12275,4408
+,560,14157,6901
+,15036,1569,19828
+,18172,19489,8218
-,314,0,0
-,109,0,0
+,11255,737,16040
+,17008,7606,9006
+,8596,9619,4787
+,14227,19139,6132
+,19551,4869,17415
+,1213,5240,2398
+,7845,17095,6749
+,12782,13079,10376
+,11003,3164,4038
+,7846,19079,8139
+,14733,1552,5998
+,10492,7766,10700
+,9729,12902,12073
+,14155,3486,17622
+,1002,9762,15445
+,4840,12227,12679
+,10636,10003,2143
+,14785,17150,18128
+,6628,17289,16088
+,14369,6189,8219
+,5212,17244,10495
+,7089,6062,5815
+,391,11215,6204
+,16352,510,8769
+,9491,12385,9173
+,503,7227,10191
+,16807,8572,3426
+,6090,18321,13364
+,19450,19521,15802
+,10081,19394,8850
+,71,16669,2329
+,19509,3349,6618
+,11083,13689,1591
+,14458,11249,8406
+,14150,16634,14253
+,4925,14787,7295
+,10773,9981,17746
+,689,1388,17922
+,16756,2776,18735
+,15476,1825,391
+,13425,3402,19094
+,5288,9473,1003
+,11319,1251,4101
+,12676,9251,4612
+,1649,10702,7000
+,19374,6869,165
-,122,0,0
+,16850,18618,3316
+,3520,16324,19628
+,6816,4262,12008
+,3699,2597,11078
+,18957,2916,2198
+,14739,7774,8631
+,4110,12776,4640
+,8263,14632,10679
+,1536,3336,16938
+,14643,6637,9178
+,18764,2342,6230
+,6006,14365,18177
+,4282,9021,6148
+,19499,8822,17580
+,12342,13289,964
-,746,0,0
+,3515,2644,17977
+,5248,16880,5955
+,8588,18298,820
+,9123,1156,9161
+,17846,5202,4962
+,6216,10761,8602
+,1333,18576,10773
+,14681,7342,6152
+,13528,10378,11514
+,473,9,16689
+,10846,1369,6381
+,19667,2406,795
+,15508,15237,4113
+,11534,19519,4339
-,854,0,0
+,6876,7865,9416
+,10256,890,12604
+,4573,13141,16551
+,17150,17882,16135
+,6124,13813,16476
+,6740,7185,8236
+,6811,15830,2277
+,4247,12347,9095
-,154,0,0
+,1168,12861,8417
+,19174,2321,2173
+,2370,17357,14599
+,4867,11269,11321
+,11176,7372,15926
+,13419,4091,14649
+,12977,4694,11410
+,14358,19337,3856
+,12399,17706,3856
+,17524,13226,11623
+,13235,13944,5796
+,12448,2068,8460
+,13065,775,9879
+,18467,15417,13401
+,3320,14994,9724
+,2821,4973,14039
+,2429,12559,14732
+,990,7531,16259
+,2333,19400,4692
+,11914,11547,3033
+,9258,2120,5281
+,18776,17663,8513
+,7246,11403,9038
+,14009,15312,9184
+,14032,2779,8958
-,892,0,0
+,18925,15526,19238
+,14930,6148,3950
+,17754,17321,14831
+,7296,19565,11681
+,946,3676,7439
+,7191,16911,12065
-,574,0,0
+,15600,15274,19789
+,9437,17076,12725
+,4146,12325,2574
-,722,0,0
+,6608,16285,14097
+,12980,9108,5559
+,10800,11631,8354
+,10474,117,14692
+,11596,184,19033
+,11222,5673,16333
+,18085,11485,13077
+,15901,2615,3741
+,14018,6345,18962
+,11732,2396,5020
+,10939,16070,16340
+,13813,19749,2798
+,10875,4021,10014
+,11218,10310,15050
+,15254,8810,3506
+,8159,12799,1996
+,6747,15609,5188
+,11041,15582,5597
+,2558,6738,10140
+,14631,8131,10832
+,8578,8722,524
+,13527,12201,17592
+,10278,2524,5086
+,13025,19123,2392
+,599,3811,2201
+,3651,11109,16401
+,15417,14692,16539
+,6826,1682,12436
-,743,0,0
+,17405,10066,4660
+,8852,11250,9333
+,12896,9120,11333
+,6175,16313,3013
+,7770,10146,8693
+,17019,3272,6116
+,11322,9857,10057
+,10052,2309,4514
+,4162,3652,6091
+,18503,17752,9246
+,6725,13977,3765
+,14668,9684,14898
+,10054,3152,2816
+,17849,12388,17498
+,9995,5635,4456
-,969,0,0
+,12014,12225,11524
+,14218,10328,991
+,7995,6409,5167
+,8045,10385,18279
+,19649,17318,11390
-,718,0,0
+,7281,12621,981
+,4624,14794,15946
+,12874,9941,12046
+,15235,8131,12666
+,7407,8329,17804
+,2032,8459,9026
+,7710,8296,3135
+,13698,7649,8481
+,14824,12844,14864
+,567,11034,11077
+,6288,14363,19656
+,14754,10098,4743
+,9345,122,12703
+,17052,7809,5930
+,17973,567,5585
+,18619,14603,14954
+,302,18704,17443
+,13469,18785,19543
+,13796,8893,1611
+,11491,1434,18923
+,2553,5923,5387
+,13156,4372,5660
+,1928,8813,6164
+,11675,7880,3885
+,18044,2164,14892
+,7139,12239,15703
+,750,6708,13932
+,12903,323,10486
+,17511,19431,14688
+,17900,5730,1543
+,11046,17216,750
+,16547,1963,9610
+,6680,9963,17643
-,334,0,0
+,13217,1996,4755
+,14793,9146,8035
+,1592,2897,16951
+,9204,11804,2141
+,17835,17789,18559
+,1410,4150,9797
+,379,12391,11258
-,764,0,0
+,4151,15528,19894
+,12184,2668,13503
+,5168,9055,19507
+,10287,19652,3173
-,571,0,0
+,2029,3755,13043
-,935,0,0
+,16034,12054,4348
+,13374,13142,12537
+,11535,16178,17624
+,7073,1169,6913
+,12941,982,18286
+,215,11926,8299
+,4031,2729,1241
+,3220,14413,14367
+,2451,7187,12967
+,3060,14318,18350
+,18127,6511,18489
+,422,2702,5826
-,959,0,0
+,4552,6715,18535
+,19772,10373,16880
-,301,0,0
+,1841,7890,910
+,10993,7726,7629
+,19273,14025,11290
+,14632,11001,364
+,16388,4126,16548
+,16175,5265,10161
+,17546,2054,10273
+,9152,12744,15825
+,678,8949,19915
+,15479,13992,3968
+,6766,17910,6042
+,9846,18883,5779
+,4873,10650,5235
+,11556,2452,16021
+,7849,16658,14903
+,10913,291,3561
+,15920,3781,1183
+,68,18797,691
+,19082,16315,19444
+,7731,5761,18691
+,3304,5400,15083
+,1812,2794,18462
+,11333,15828,6890
+,17800,11421,9610
+,19448,1072,16102
+,11027,15285,14823
+,2320,226,16474
-,694,0,0
+,5268,16164,15932
+,2200,1109,7505
+,7244,426,19460
+,9234,16630,2300
+,9801,16340,15234
+,3726,2132,3270
+,7158,8012,2738
+,9355,3498,1812
+,2368,2820,11722
+,9555,14691,17754
+,4896,7444,12544
+,144,8441,3147
+,7595,17091,16768
+,15089,10261,8980
+,10039,9188,9460
+,6629,12176,16353
+,7989,18314,14991
+,15665,14699,5275
-,416,0,0
+,17424,10749,8820
+,13884,7889,7412
+,5188,1966,5242
+,19108,19414,7316
+,17108,1821,12075
+,1628,3706,11594
+,1779,2417,9573
+,4741,264,1300
+,12527,7627,1321
+,10146,17616,19189
+,12849,1088,17326
+,19746,16160,13395
+,12624,7197,7837
+,18111,10135,8402
+,6896,17329,6550
+,124,8652,2216
+,8835,5774,15292
+,11981,11030,18844
+,11271,12269,16019
+,15838,17830,1606
+,15886,7016,10111
+,8701,831,11105
+,13141,12717,15912
+,3130,2908,11916
+,18192,10381,1326
+,19319,18052,19616
+,10726,18392,19888
+,19069,16799,15959
+,16377,9265,8894
+,10425,16045,12647
-,185,0,0
+,10435,16304,23
+,6365,4119,6161
+,17590,17452,6863
+,7534,15144,17905
+,7579,15693,11782
+,6768,6663,7090
+,8595,10954,13471
+,906,15346,3720
+,19644,11123,11946
+,17061,5703,2098
+,10409,13300,10175
+,2278,14756,12676
+,5840,9842,9792
+,8073,3292,9799
+,12420,9243,15339
-,791,0,0
+,19199,2077,15659
+,9277,9409,7605
+,4992,3400,603
+,1322,8208,8250
+,402,6857,4526
+,3143,16472,521
+,5425,11745,8606
+,17953,2173,10113
+,1272,9353,12559
+,499,3063,8358
+,5592,18059,16032
+,16887,1194,10013
+,12078,9199,3385
+,16786,14408,15892
+,18790,9991,15370
+,17402,17507,12436
+,14159,8317,5385
+,668,4230,11303
+,17882,15927,9530
+,12745,11966,15691
+,4150,16999,14304
+,12937,15650,13130
+,12823,3583,9733
+,19609,12522,10305
+,1126,17896,5376
-,995,0,0
+,16425,5942,12570
+,11791,18736,1235
+,9551,4985,14939
+,7036,8754,478
+,17487,19703,11768
+,9094,19217,15164
+,16263,4980,6926
+,6276,5921,19876
+,123,15537,12941
+,11800,4925,11513
-,346,0,0
+,3469,4417,15582
-,213,0,0
+,13616,10136,9337
+,4439,7810,17337
+,19946,6542,17593
+,2740,4143,11108
+,13934,16104,14398
+,14975,2300,14697
+,8067,19585,1452
+,17236,7166,14029
+,12096,3152,12489
+,12216,8400,11355
+,8004,4484,1534
+,3662,19145,13490
+,3296,12997,11528
+,4882,10859,12337
-,818,0,0
+,15153,13761,14882
+,18532,1227,11945
+,17762,18704,17540
