OP,A1,A2,A3,A4
+,504,7980,9483,8653
+,9011,8694,6078,2274
+,3454,7032,8470,4874
+,6135,6117,7252,5948
+,6312,3996,3823,7713
+,8427,7499,7092,127
+,8433,6596,1607,9462
+,9681,1755,4533,5816
+,7445,7405,1340,5775
+,469,269,4251,964
+,3950,3227,4993,4290
+,3150,2359,2072,1700
+,6796,2429,3508,6865
+,9109,8568,6601,2083
+,2198,2631,6558,609
+,6068,2749,600,3436
+,8295,7862,2032,3525
+,6115,248,805,139
+,1857,1894,8972,8654
+,378,9476,6184,256
+,2256,1605,8262,2081
+,4219,9091,7974,960
+,6852,1643,1865,9485
+,810,5701,1888,3242
+,5698,6928,8228,2776
+,7793,7177,6730,6196
+,3260,6448,7146,8851
+,2118,4954,7190,1717
+,1232,1875,5594,3185
+,8585,2868,1308,5389
+,4831,2840,2697,9262
+,69,7843,563,2426
+,9923,6604,9010,8222
+,1185,3610,2304,9473
+,6843,8306,9716,8033
+,3631,4055,812,7194
+,9984,3110,8232,5440
+,8275,9602,915,3169
+,663,3367,9365,9868
+,3808,8466,6391,8490
+,3867,4621,527,7156
+,3290,1809,2987,5857
+,8156,3655,1106,1343
+,4036,673,453,340
+,5075,5763,8601,3458
-,434,0,0,0
+,2993,8065,5713,5281
+,1230,905,4841,3630
+,1382,5226,2805,179
+,8580,8521,7189,7387
+,1212,7666,6711,8119
-,129,0,0,0
+,2679,1716,803,126
+,1734,7118,6828,8302
+,441,7895,6684,3438
+,9188,3775,1990,8202
+,3213,8903,3076,5666
+,9215,261,6220,5565
+,1680,4439,4089,6640
+,5377,7361,4239,6468
+,1891,1266,6946,8606
+,8446,9055,7680,1389
+,1347,8101,9709,4925
+,4551,3341,2837,3134
+,9427,9283,3112,8829
+,3841,8152,2796,2595
+,6688,1519,5043,3993
+,3887,2485,6768,1087
+,9364,7924,968,9862
+,2614,6471,2077,3631
+,2235,2248,521,3691
+,8586,5291,9287,7575
+,1859,8961,5849,1126
+,8096,1851,1949,4083
-,560,0,0,0
+,7348,6148,1048,8278
+,6695,1642,2496,6406
+,8620,8006,2047,9982
+,3913,6608,9671,7652
-,13,0,0,0
+,8376,3801,1147,4848
+,4303,4308,6251,3607
+,7578,7275,3996,4465
+,242,8866,8392,7578
+,6660,710,1279,5544
+,2250,4823,6582,4670
+,6137,6298,3737,9620
+,4628,703,5300,6389
+,9804,8088,1247,2387
-,618,0,0,0
+,4314,5534,7762,4104
+,5774,8499,8203,8518
+,7547,4921,6289,32
+,292,9454,9415,978
+,8546,1996,3417,9440
+,2932,9467,129,6157
+,7851,2858,8653,8476
+,9246,8219,2906,2443
+,5785,7056,9556,2278
+,2576,794,3599,3593
+,3239,6631,6145,727
+,555,8107,2094,5975
+,4601,2177,3498,5014
+,3007,2633,403,8869
+,1662,3317,4853,1372
+,4319,6862,3846,5813
+,3002,4652,8409,2323
+,6598,8479,1390,2923
+,2702,1860,7223,6989
+,6382,2801,3764,1702
+,1776,5386,3580,2969
+,7878,1866,1243,4902
+,360,4982,329,7712
+,9586,1003,2191,5190
+,9005,7828,2333,5481
-,407,0,0,0
-,697,0,0,0
-,65,0,0,0
+,2814,5559,5187,5634
+,4376,7501,9112,2655
+,361,3366,6746,6469
+,9875,9677,6063,9569
+,2444,3387,9053,1996
+,4619,801,4302,7607
+,6558,8671,1571,6698
+,6900,2920,6058,6759
+,3764,4539,6677,2192
+,3152,2819,2568,2836
+,3432,6103,7509,3854
+,3713,1067,1133,2468
+,8390,5130,9507,6446
+,7020,3703,928,2622
+,1350,8311,1965,9661
+,6389,4095,9504,2174
+,7161,4287,4196,9838
-,779,0,0,0
+,2164,1674,3851,6396
+,5054,5832,486,2197
+,2688,6393,5115,7701
+,7918,8141,519,9274
+,5953,2038,1998,8913
+,580,8880,2687,5739
+,1243,555,6805,3981
-,99,0,0,0
+,9445,2778,8176,9774
+,9193,2489,2081,3630
+,7191,4233,3529,8462
+,9579,7858,3470,4021
+,9,5963,6538,1471
+,9694,8601,7528,2308
+,6116,1381,6293,2822
+,3215,4514,3241,4462
+,9167,9689,1818,7044
+,5441,9489,4159,4463
+,1843,3084,7465,2076
+,1722,844,459,664
+,8957,7197,8204,627
+,5735,5528,3295,6838
+,9943,2003,4327,9531
-,379,0,0,0
+,4846,9376,1553,3940
+,9781,2182,2073,4431
-,468,0,0,0
+,4160,5710,8047,8803
+,8582,1244,9970,580
+,4757,752,1820,5234
+,1957,6898,996,1575
+,4338,6341,4708,8482
+,1651,2108,5729,1248
+,1631,857,7914,9392
+,8933,8448,4986,4348
+,9481,7135,3689,1657
+,7063,4191,4050,5451
+,7679,5298,5776,8415
+,952,4289,8766,6322
+,1178,7327,360,6330
-,218,0,0,0
+,8988,7134,4106,9190
+,2501,4228,9094,2461
+,1376,3529,57,2102
+,867,226,2216,7614
+,1706,5637,5261,9004
+,3462,8272,2203,5297
+,9825,2090,6309,4519
+,6155,3464,6465,9055
+,689,3224,9637,872
+,5687,2999,5,5008
+,6321,4584,421,5228
+,6198,2641,2357,7079
+,334,9928,4410,6634
+,723,6101,1028,3413
+,4939,2169,7929,5718
+,6534,230,9534,9472
-,448,0,0,0
+,7078,2342,4829,1831
+,7016,3978,5497,6780
+,4233,7779,4774,5884
+,7189,339,224,2346
+,3926,2628,9321,2314
+,3695,2812,1356,4550
+,7595,916,6205,2407
+,2362,7410,1870,925
+,8982,6163,6938,8289
+,5504,4635,6622,4633
+,4830,5324,5855,497
-,635,0,0,0
+,5011,9546,5251,4857
+,7251,6056,6383,3308
+,9932,3277,5316,8488
+,7223,3055,7073,1647
+,4502,1248,5731,3810
-,107,0,0,0
-,90,0,0,0
-,707,0,0,0
+,7266,7148,4708,619
+,1810,5954,8489,2968
+,2062,7746,5460,6286
-,218,0,0,0
