OP,A1,A2,A3,A4,A5,A6
+,3294,2780,785,4474,9780,5461
+,7779,9343,3404,5072,7837,9223
+,9736,1504,4427,8642,7183,3417
+,4621,8298,7229,1598,3151,5646
+,8724,9277,23,8747,2034,3671
+,8786,221,2128,5153,7138,9215
+,7964,7509,1418,7790,7971,2577
-,809,0,0,0,0,0
-,484,0,0,0,0,0
+,5009,8011,4472,5160,1866,3320
+,1748,8582,1092,9949,1325,4521
+,9239,9624,3425,3746,127,6959
+,3713,426,8832,5107,3508,6264
+,8958,4040,4870,9113,6160,6955
+,5506,4586,6497,8336,2349,2860
+,3827,4716,4212,8996,7507,8212
-,598,0,0,0,0,0
+,4904,1006,6307,9252,540,9157
+,1512,7927,5237,1976,7526,8037
+,7216,5164,6340,6674,5747,6798
-,908,0,0,0,0,0
+,4510,9248,884,4971,9526,6349
+,9504,7138,720,7398,3065,4807
+,3554,7791,4281,125,8436,5577
-,541,0,0,0,0,0
+,4356,26,4159,1457,7222,5517
+,6127,7306,5221,9661,6104,5602
+,9597,7966,8774,1820,8302,8259
+,7555,178,3514,4068,263,4675
+,5682,6172,7488,3222,8701,2860
+,6529,211,905,8086,7679,4519
+,2532,9171,3595,1784,2277,450
+,8771,2449,5133,8938,4386,6948
+,1607,2180,7440,4192,2275,9589
+,1651,4521,7733,7929,8728,4317
+,3261,8033,9003,4180,1919,6663
-,612,0,0,0,0,0
+,1650,4533,8310,2563,9280,7319
+,1781,6901,852,8037,1050,4778
-,957,0,0,0,0,0
+,9103,1533,3310,4676,2015,2283
+,1828,9688,7914,3132,7074,158
+,3159,4415,3882,1064,7237,376
-,90,0,0,0,0,0
-,409,0,0,0,0,0
+,6107,7754,7041,6380,861,831
-,562,0,0,0,0,0
+,4613,1218,9592,6695,6141,2819
+,1548,3080,8332,7224,583,6133
+,7468,9495,9783,8187,6952,4620
+,9737,2238,1625,4844,5651,523
+,7068,7746,5181,5719,6368,3457
-,377,0,0,0,0,0
+,933,6036,1365,9842,589,8614
+,8923,27,1078,5999,2892,3547
-,801,0,0,0,0,0
+,7082,1182,29,1440,4678,72
+,5798,8509,8929,8286,338,7137
+,1691,8254,6473,9226,5020,2741
+,8888,3821,3906,4918,5371,7188
+,7813,2744,1859,5609,7093,9826
+,4275,9566,660,8210,5287,1871
+,617,6649,8396,1950,8878,8158
+,8039,1107,2319,9609,9167,4455
+,266,8473,578,3223,8032,2201
+,9219,8885,3362,1401,6396,2504
-,429,0,0,0,0,0
+,5632,9772,2677,1472,4041,5224
+,300,2460,3147,4390,1311,4154
+,5969,2171,5686,3042,7354,4469
+,1017,7228,460,470,7173,6190
+,4498,9390,6359,3390,7568,3447
-,354,0,0,0,0,0
-,175,0,0,0,0,0
+,5680,5156,9092,7674,2929,8324
+,3325,1716,830,5768,9037,4901
+,1271,440,1873,6031,9268,154
+,3887,3549,1204,622,5103,6331
+,2892,3298,1651,1725,3241,3589
+,5370,903,6016,2946,6103,2436
+,1989,9584,9998,6860,1574,5251
+,6550,3314,1667,5790,7547,5354
+,9932,2445,6894,2106,4819,2445
+,3539,7647,8449,9434,1124,5839
+,2867,4939,8873,55,837,6790
+,9559,595,8102,4906,5121,2754
+,389,1060,9290,3059,8569,6668
+,7278,154,4129,2295,1626,4657
+,4635,4300,7892,7786,1507,1707
