OP,A1,A2
+,6381,17274
+,15272,18673
+,2907,8812
+,14654,17040
+,5222,11470
+,7648,15542
+,10107,2717
+,6871,230
+,3709,11900
+,2596,2594
-,907,0
+,11036,13542
+,12117,1902
-,956,0
+,7568,96
+,18663,19280
+,17102,3836
-,557,0
+,12607,19983
+,9090,19273
+,7089,11628
+,11960,8999
+,19929,3732
+,14127,4916
+,6848,19628
+,8396,13551
+,18748,15419
+,14835,11111
+,11783,13329
+,3269,12028
+,14246,17698
+,9341,5738
+,17661,6311
+,1010,5085
+,15856,12973
+,18961,19020
+,8180,17979
+,14415,16043
+,2261,13146
+,11263,7943
+,15786,13493
+,4527,5832
+,1289,14959
+,16828,13682
+,17878,13837
+,9162,15100
-,667,0
+,10652,4431
+,751,18581
+,17762,10338
+,18244,1886
+,6149,13989
+,11005,6496
+,19230,18794
+,8737,18910
+,9268,17269
+,10740,12779
+,12979,1431
+,5921,18646
+,15956,4735
+,10829,17338
+,16516,4467
+,13594,16455
+,2922,17001
+,9276,19374
-,287,0
+,19227,9318
+,18822,15126
+,15972,18272
+,14166,10798
+,5969,7356
+,12949,19898
+,7217,13274
+,16836,9589
+,7243,2182
+,3533,7286
+,19320,1609
+,9916,8255
+,12666,18552
+,18699,4487
+,13495,174
+,8778,16060
+,3633,14439
+,19056,2264
+,8489,6706
+,19584,17480
+,14344,5998
+,1479,16241
+,488,11907
+,18304,2738
+,5506,1703
+,3860,2224
+,18863,11304
+,13807,1708
+,18307,11338
+,258,14187
+,3362,9366
+,4242,13385
+,18805,11572
+,1820,4910
+,6313,8275
+,11829,7666
+,5759,19935
+,2913,3652
+,7161,11514
+,10229,15668
+,17278,1580
+,18470,15307
+,11122,13907
+,8747,3176
+,6166,19276
+,7299,2760
+,11288,12063
-,753,0
+,16722,225
+,18986,5065
+,4636,11318
+,8744,18169
+,7801,18167
+,11559,18424
+,4938,4172
+,4436,7184
+,19943,3865
+,18787,10019
+,649,14538
+,15370,17990
+,8820,6999
+,523,15722
+,11308,4265
+,629,6659
+,14427,2461
+,2293,4966
+,219,9767
+,4162,14382
+,4623,6002
+,9442,180
+,18591,8180
+,414,7977
+,4066,2606
+,7003,11667
+,19448,6199
+,994,2123
+,3314,16720
+,7852,18174
+,3109,13881
+,4517,14209
+,13661,2669
-,358,0
+,14884,2571
+,9451,19518
+,15828,7645
+,19264,10458
+,18252,17032
+,15413,5380
+,7071,19098
+,14442,17076
+,3916,1459
+,19743,3720
+,12660,10625
+,8108,7894
+,12275,6935
+,3565,19373
+,694,8337
+,1657,15386
+,17274,12338
+,5845,14181
+,15070,5787
+,5377,1968
+,15383,5626
+,17935,4274
+,5379,18978
+,5843,7528
+,13708,6825
+,16202,7983
+,431,7240
+,10185,8797
+,17866,7524
+,3984,11067
+,7637,15196
+,10494,10118
+,8782,5861
+,14836,7040
+,8437,1279
+,3062,15749
+,18136,3991
+,8781,3538
+,5545,18348
+,10958,7292
+,10147,18878
+,13891,4759
+,14602,4702
+,7940,17025
+,13384,10232
+,1193,8676
+,5950,13406
+,14527,13736
